i,j,conditioning_set,conditioning_bins,true_edge,population_ci,tv_lower_bound,model
3,8,2,2,0,0,0.000423444789859825,Chain strong
3,8,4,2,0,1,1.04083408558608e-17,Chain strong
3,8,5,2,0,1,1.73472347597681e-18,Chain strong
3,8,6,2,0,1,5.20417042793042e-18,Chain strong
3,8,7,2,0,1,9.54097911787244e-18,Chain strong
4,5,[],1,1,0,0.047493620281903,Chain strong
4,5,1,2,1,0,0.0236753676059868,Chain strong
4,5,2,2,1,0,0.023251922816127,Chain strong
4,5,3,2,1,0,0.020318691802304,Chain strong
4,5,6,2,1,0,0.020318691802304,Chain strong
4,5,7,2,1,0,0.023251922816127,Chain strong
4,5,8,2,1,0,0.0236753676059868,Chain strong
4,6,[],1,0,0,0.0180451517398528,Chain strong
4,6,1,2,0,0,0.00899543135290565,Chain strong
4,6,2,2,0,0,0.00883454394442604,Chain strong
4,6,3,2,0,0,0.00772006586466914,Chain strong
4,6,5,2,0,1,2.60208521396521e-18,Chain strong
4,6,7,2,0,0,0.00772006586466914,Chain strong
4,6,8,2,0,0,0.00883454394442604,Chain strong
4,7,[],1,0,0,0.00685623667729512,Chain strong
4,7,1,2,0,0,0.00341780480757462,Chain strong
4,7,2,2,0,0,0.00335667580368285,Chain strong
4,7,3,2,0,0,0.00293323101382302,Chain strong
4,7,5,2,0,1,2.60208521396521e-18,Chain strong
